JobID,JobName,CPUTime,CPUTimeRAW,Elapsed,TotalCPU,MaxRSS,State,ExitCode
47403396,batch,00:22:30,1350,00:22:30,06:40.178,0.76G,COMPLETED,0:0
47403397,batch,00:26:25,1585,00:26:25,06:47.586,0.74G,COMPLETED,0:0
47403398,batch,00:28:21,1701,00:28:21,06:50.063,0.76G,COMPLETED,0:0
47403399,batch,00:29:15,1755,00:29:15,06:50.757,0.76G,COMPLETED,0:0
47403400,batch,00:23:55,1435,00:23:55,06:50.831,0.77G,COMPLETED,0:0
47403401,batch,00:28:59,1739,00:28:59,06:52.779,0.77G,COMPLETED,0:0
47403402,batch,00:29:15,1755,00:29:15,06:54.055,0.78G,COMPLETED,0:0
47403403,batch,00:32:17,1937,00:32:17,06:26.794,0.77G,COMPLETED,0:0
47403404,batch,00:33:00,1980,00:33:00,06:30.131,0.76G,COMPLETED,0:0
47403405,batch,00:35:47,2147,00:35:47,06:29.848,0.76G,COMPLETED,0:0
47403406,batch,00:35:28,2128,00:35:28,06:14.208,0.76G,COMPLETED,0:0
47403407,batch,00:36:00,2160,00:36:00,06:18.941,0.78G,COMPLETED,0:0
47403408,batch,00:35:56,2156,00:35:56,06:24.207,0.77G,COMPLETED,0:0
47403409,batch,00:37:00,2220,00:37:00,06:31.086,0.75G,COMPLETED,0:0
47403410,batch,00:36:11,2171,00:36:11,06:28.831,0.78G,COMPLETED,0:0
47403411,batch,00:36:31,2191,00:36:31,06:29.573,0.75G,COMPLETED,0:0
47403412,batch,00:36:08,2168,00:36:08,06:29.100,0.76G,COMPLETED,0:0
47403413,batch,00:37:15,2235,00:37:15,06:28.718,0.77G,COMPLETED,0:0
47403414,batch,00:37:21,2241,00:37:21,06:26.829,0.75G,COMPLETED,0:0
47403415,batch,00:37:39,2259,00:37:39,06:27.116,0.78G,COMPLETED,0:0
47403416,batch,00:36:51,2211,00:36:51,06:33.208,0.76G,COMPLETED,0:0
47403417,batch,00:36:51,2211,00:36:51,06:30.962,0.76G,COMPLETED,0:0
47403418,batch,00:35:17,2117,00:35:17,06:30.897,0.77G,COMPLETED,0:0
47403419,batch,00:41:01,2461,00:41:01,06:47.087,0.74G,COMPLETED,0:0
47403420,batch,00:40:46,2446,00:40:46,06:45.739,0.77G,COMPLETED,0:0
47403421,batch,00:41:05,2465,00:41:05,06:46.124,0.76G,COMPLETED,0:0
47403422,batch,00:32:14,1934,00:32:14,06:42.925,0.75G,COMPLETED,0:0
47403423,batch,00:41:17,2477,00:41:17,06:42.657,0.76G,COMPLETED,0:0
